wss.1004f30be305f33d28a1548e344f0e2e	111.97104\,84.16881\,0.0
wss.100f39dce7690f59efb94709f30ce0d2	111.34567\,100.547745\,96.13275
wss.101354f9d8dede686f7b08d9de913afe	43.43313\,60.591843\,32.17259
wss.1018f01d42ae7fad52249d8432f6087e	78.23693\,4.360932\,18.058533
wss.102273fdf8d1b90041fbc1e2da054acb	18.514877\,71.531975\,48.62335
wss.1022fe7dd03f6a4d4d5ad9f13ac9f4e7	60.366123\,98.00925\,66.79712
wss.1028b32dc1873c2afe26a3ac360dbd4	78.41001\,117.685616\,77.54468
wss.1029fd5d71a06ea32ea98d69e91ba870	70.55165\,148.1222\,41.225212
wss.102a6b7809f4e51813842bc8ef6fe18	23.257397\,46.2361\,60.778683
wss.102ea1d8d5fe24e8485059ffe7a2f9c7	608.33\,266.065\,770.89
wss.1033ee86cc8bac4390962e4fb7072b86	66.430275\,98.00357\,109.57538
wss.104221f8a5b6676aa1dda33d5a7c8c38	61.418324\,99.757866\,61.683174
wss.10433e5bd8fa2a337b00c7b93209c459	72.75322\,51.1175\,72.75322
wss.1043b403dd2e79128081f4adb71040	272.1563\,74.93356\,189.14935
wss.1046b3d5a381a8902e5ae31c6c631a39	17.014687\,11.401642\,7.0823097
wss.10477652cbfcbc0eeda994bbf9145c8e	49.344296\,140.40805\,4.48552e-14
wss.1049af17ad48aaeb6d41c42f7ade8c8	22.720854\,24.441763\,11.376484
wss.10507ae95f984daccd8f3fe9ca2145e1	207.3289\,91.36555\,96.69265
wss.1061c1b4af7fd99777f4e9e0a7e4c2	25.530308\,42.36807\,19.044258
wss.106676e68e8031e51085ede6a3c1fc8b	20.000011\,10.500005\,20.000011
wss.106d2b545cadbbba005531e2f53712	98.98366\,87.69989\,219.39786
wss.106f8b5d2f2c777535c291801eaf5463	9.631384\,10.936644\,9.779686
wss.1074bdcb3c2032fe0f3f8b6e1796773	176.43524\,84.659584\,58.38592
wss.107637b6bdf8129d4904d89e9169817b	201.62453\,98.47731\,101.64667
wss.1077080c3c8c6c71bf4af39142c10db1	135.85051\,65.66109\,63.39691
wss.1077ec2ad50f4d1e635469b95109803c	72.61297\,134.43211\,72.61297
wss.107866d38cbda61bd95833de9ef0110c	85.725\,85.725\,24.4475
wss.107e37526a6c86ca3560954e7d85cd64	54.837147\,16.929007\,54.837204
wss.10813c17dce1786de3f7a74e12a274ef	57.327805\,21.78096\,121.34619
wss.1086e8da6237a55aeccd82bb51193a7f	61.363174\,5.478853\,5.478853
wss.108ad3a805249f426ef4e1604526a95	492.0639\,120.155945\,560.27423
wss.109574a012a47717924923601a5ffbc7	1721.5281\,2569.4387\,1721.5281
wss.109d55a137c042f5760315ac3bf2c13e	9.25901\,34.646904\,9.25901
wss.109db03133db57937ff6ace05b36a5	147.12622\,98.0842\,102.17102
wss.10a200395145c61aea2f5d52559debc	20.277977\,70.851814\,14.157887
wss.10a20d1717ef260c5c2ffa1ebd96943	243.84\,76.2\,182.88
wss.10a4e3c7c20cde9f3480e103b4cacefa	11.558354\,2.346433\,17.094893
wss.10a75ef76166772a65327266daecd868	265.2776\,182.54433\,108.11841
wss.10a885f5971d9d4ce858db1dc3499392	109.31118\,68.22495\,24.910542
wss.10ab751f4eb409fa26b714303ae746a	1819.1686\,1293.4656\,1819.1683
wss.10adc13570a8b6e3bcceec49967c0de7	141.68591\,33.45362\,22.040031
wss.10b20f680011a4d7683d931288a9d25a	88.57038\,65.18331\,8.312272
wss.10b43623dbc8ab25ad5067eac75a07f7	136.6034\,40.515064\,37.120396
wss.10b81dfbb3ba3e8835836c728d324152	105.37619\,104.75241\,7.7590923
wss.10be2b59cbb7d62399f293951bd5fd3c	43.282158\,128.88705\,76.841156
wss.10c484963692d3c87d40405e5ee68b4f	107.53044\,161.29567\,64.23897
wss.10c706f946fa0f3ea3056fa1e8da3997	114.39287\,78.04382\,9.621834
wss.10cb0ff37a8fe7a7144db9fce035b924	149.99963\,154.86736\,434.57672
wss.10d174a00639990492d9da2668ec34c	57.416134\,105.995895\,56.436745
wss.10d3d5961e00b2133ff038bc77759685	10.89127\,34.645996\,10.89127
wss.10dbd3853ac93147a616caf97d73fa02	72.91145\,79.572586\,22.689133
wss.10dde363ace4b6f7d829a060ca0c32f6	2592.6025\,379.1511\,1594.0692
wss.10de9af4e91682851e5f7bff98fb8d02	104.62929\,96.976074\,106.759766
wss.10e87db71c1133a7aad9729b1fc37be5	569.3257\,37.34842\,569.3257
wss.10eb10fe18126d45b97ad864945165a1	106.29274\,144.25441\,45.554066
wss.10eef2596b7d3a80afa3b1b4d906a5ac	55.5227\,55.797573\,58.67305
wss.10f1b51f2207766ff11c3739edd52fa3	115.713104\,101.24896\,68.70466
wss.10f20b7a11083584cc13fc397d212ee7	20.319992\,40.64\,81.28003
wss.10f6e09036350e92b3f21f1137c3c347	16.406971\,21.900467\,21.937897
wss.10fb3744be2144e3cb2a965e75be701c	46.810863\,72.4451\,46.87408
wss.1101146651cd32a1bd09c0f277d16187	209.10281\,218.19424\,113.64829
wss.1102f999ad58b5c822bcbff1aefac825	58.42\,22.86\,9.51291
wss.110c3f0ef557293fe6c89f594746e7d7	722.62915\,722.62885\,67.96707
wss.110ddaf4740511d59a1974f504647073	53.028168\,19.920742\,12.307739
wss.111519c11fd276485f7e9425b1ff625d	34.91125\,69.46915\,32.942795
wss.111720e8cd4c613492d9da2668ec34c	74.71224\,117.221695\,81.73589
wss.11183af410a81c186f525e79a05bbcb3	46.595505\,35.26254\,4.0174294
wss.111bdf14db7a16cd60467dddaf5cfe3f	29.691498\,29.69148\,29.691475
wss.111cb08c8121b8411749672386e0b711	95.79794\,98.10305\,85.065765
wss.112484c16b98270710d543c5222bbf6d	52.79468\,76.552284\,248.135
wss.1129a07c75f5a709cf004563556ddb36	26.322744\,136.22287\,108.252556
wss.112e1ee87d1d12f814659d605ff53c6f	32.36525\,167.48116\,32.36525
wss.11358c94662a68117e66b3e5c11f24d4	74.89104\,96.67563\,71.23781
wss.1135ab554f69faeec19a59cdcb309b91	313.81955\,137.16\,21.469376
wss.113bc1faff8ba19668821642e9a54505	11.500003\,17.49999\,11.500003
wss.114297d26314bd233e25c4a6e2e9361f	11.971223\,40.98567\,14.9599905
wss.11448f34681c545439f3410d5f76299b	37.4198\,28.874233\,43.222015
wss.114509277e76e413c8724d5673a063a6	9.484277\,39.174187\,9.484277
wss.114ada02ab35426af5afb395b99ae069	51.084892\,126.79648\,61.518715
wss.114aff55d9933650a83967b36ab91a2e	50.683044\,175.3386\,50.898087
wss.114f65a1635af7f862237730c52678c5	12.429434\,35.553722\,9.066626
wss.115136d967aafb7d58a311513e993aad	137.99022\,87.535645\,122.185165
wss.11525a18678f7ce6ae1e1181f20bb9c8	65.377106\,95.54862\,65.59125
wss.1152a5db0db892286c52446b30bba6c	213.33807\,163.10576\,72.594025
wss.1157469f751cef3384d8771179b91037	41742.03\,13017.651\,26399.793
wss.1165e8de3cee9f706314698551cd43b	45.555798\,49.800148\,45.55574
