wss.1004f30be305f33d28a1548e344f0e2e	0.015031646
wss.100f39dce7690f59efb94709f30ce0d2	0.012947172
wss.101354f9d8dede686f7b08d9de913afe	0.013619756
wss.1018f01d42ae7fad52249d8432f6087e	0.010424472
wss.102273fdf8d1b90041fbc1e2da054acb	0.0017913
wss.1022fe7dd03f6a4d4d5ad9f13ac9f4e7	0.017984305
wss.1028b32dc1873c2afe26a3ac360dbd4	0.036115336
wss.1029fd5d71a06ea32ea98d69e91ba870	0.019631053
wss.102a6b7809f4e51813842bc8ef6fe18	0.02525238
wss.102ea1d8d5fe24e8485059ffe7a2f9c7	*
wss.1033ee86cc8bac4390962e4fb7072b86	0.024691262
wss.104221f8a5b6676aa1dda33d5a7c8c38	0.035441115
wss.10433e5bd8fa2a337b00c7b93209c459	*
wss.1043b403dd2e79128081f4adb71040	0.002310119
wss.1046b3d5a381a8902e5ae31c6c631a39	0.001290393
wss.10477652cbfcbc0eeda994bbf9145c8e	0.018241681
wss.1049af17ad48aaeb6d41c42f7ade8c8	0.038713561
wss.10507ae95f984daccd8f3fe9ca2145e1	0.026491137
wss.1061c1b4af7fd99777f4e9e0a7e4c2	4.55e-04
wss.106676e68e8031e51085ede6a3c1fc8b	*
wss.106d2b545cadbbba005531e2f53712	3.42e-04
wss.106f8b5d2f2c777535c291801eaf5463	7.05e-05
wss.1074bdcb3c2032fe0f3f8b6e1796773	0.029192961
wss.107637b6bdf8129d4904d89e9169817b	0.022625356
wss.1077080c3c8c6c71bf4af39142c10db1	0.022641755
wss.1077ec2ad50f4d1e635469b95109803c	0.054514239
wss.107866d38cbda61bd95833de9ef0110c	*
wss.107e37526a6c86ca3560954e7d85cd64	0.027418546
wss.10813c17dce1786de3f7a74e12a274ef	*
wss.1086e8da6237a55aeccd82bb51193a7f	0.021915417
wss.108ad3a805249f426ef4e1604526a95	0.008640794
wss.109574a012a47717924923601a5ffbc7	*
wss.109d55a137c042f5760315ac3bf2c13e	0.030863366
wss.109db03133db57937ff6ace05b36a5	0.032694732
wss.10a200395145c61aea2f5d52559debc	0.004707762
wss.10a20d1717ef260c5c2ffa1ebd96943	*
wss.10a4e3c7c20cde9f3480e103b4cacefa	0.003476197
wss.10a75ef76166772a65327266daecd868	0.00373386
wss.10a885f5971d9d4ce858db1dc3499392	0.010984889
wss.10ab751f4eb409fa26b714303ae746a	*
wss.10adc13570a8b6e3bcceec49967c0de7	0.0196786
wss.10b20f680011a4d7683d931288a9d25a	0.011928353
wss.10b43623dbc8ab25ad5067eac75a07f7	0.018521765
wss.10b81dfbb3ba3e8835836c728d324152	0.022995214
wss.10be2b59cbb7d62399f293951bd5fd3c	0.018138316
wss.10c484963692d3c87d40405e5ee68b4f	0.027929985
wss.10c706f946fa0f3ea3056fa1e8da3997	0.271549322
wss.10cb0ff37a8fe7a7144db9fce035b924	*
wss.10d174a00639990492d9da2668ec34c	0.021162245
wss.10d3d5961e00b2133ff038bc77759685	0.032762793
wss.10dbd3853ac93147a616caf97d73fa02	0.010197365
wss.10dde363ace4b6f7d829a060ca0c32f6	*
wss.10de9af4e91682851e5f7bff98fb8d02	0.028278186
wss.10e87db71c1133a7aad9729b1fc37be5	0.005432498
wss.10eb10fe18126d45b97ad864945165a1	0.037961688
wss.10eef2596b7d3a80afa3b1b4d906a5ac	0.022905406
wss.10f1b51f2207766ff11c3739edd52fa3	0.036160344
wss.10f20b7a11083584cc13fc397d212ee7	*
wss.10f6e09036350e92b3f21f1137c3c347	5.92e-04
wss.10fb3744be2144e3cb2a965e75be701c	0.025873249
wss.1101146651cd32a1bd09c0f277d16187	0.090914265
wss.1102f999ad58b5c822bcbff1aefac825	*
wss.110c3f0ef557293fe6c89f594746e7d7	*
wss.110ddaf4740511d59a1974f504647073	0.013930589
wss.111519c11fd276485f7e9425b1ff625d	0.044558355
